+-----+---------------------+----------+
| key |        date         |  value   |
+-----+---------------------+----------+
| uu1 | 2017-04-12 09:00:00 |  1836458 |
| uu2 | 2017-04-12 09:00:00 |   625975 |
| uu3 | 2017-04-12 09:00:00 |  2599999 |
| uu4 | 2017-04-12 09:00:00 |  1657917 |
| uu1 | 2017-04-12 08:00:00 |  1090913 |
| uu2 | 2017-04-12 08:00:00 |   338179 |
| uu3 | 2017-04-12 08:00:00 |  1793128 |
| uu4 | 2017-04-12 08:00:00 |  1283997 |
| uu1 | 2017-04-12 07:00:00 |   740165 |
| uu2 | 2017-04-12 07:00:00 |   208751 |
| uu3 | 2017-04-12 07:00:00 |  1369677 |
| uu4 | 2017-04-12 07:00:00 |  1133628 |
| uu1 | 2017-04-12 06:00:00 |   464567 |
| uu2 | 2017-04-12 06:00:00 |   129732 |
| uu3 | 2017-04-12 06:00:00 |  1002834 |
| uu4 | 2017-04-12 06:00:00 |  1014791 |
| uu1 | 2017-04-12 05:00:00 |   259943 |
| uu2 | 2017-04-12 05:00:00 |    64860 |
| uu3 | 2017-04-12 05:00:00 |   733066 |
| uu4 | 2017-04-12 05:00:00 |   888256 |
| uu1 | 2017-04-12 04:00:00 |   229785 |
| uu2 | 2017-04-12 04:00:00 |    54775 |
| uu3 | 2017-04-12 04:00:00 |   719433 |
| uu4 | 2017-04-12 04:00:00 |   801555 |
| uu1 | 2017-04-12 03:00:00 |   264342 |
| uu2 | 2017-04-12 03:00:00 |    64744 |
| uu3 | 2017-04-12 03:00:00 |   795541 |
| uu4 | 2017-04-12 03:00:00 |   783814 |
| uu1 | 2017-04-12 02:00:00 |   352283 |
| uu2 | 2017-04-12 02:00:00 |    71123 |
| uu3 | 2017-04-12 02:00:00 |   943842 |
| uu4 | 2017-04-12 02:00:00 |   842924 |
| uu1 | 2017-04-12 01:00:00 |   459488 |
| uu2 | 2017-04-12 01:00:00 |    96006 |
| uu3 | 2017-04-12 01:00:00 |  1172971 |
| uu4 | 2017-04-12 01:00:00 |   933067 |
| uu1 | 2017-04-12 00:00:00 |   733054 |
| uu2 | 2017-04-12 00:00:00 |   162923 |
| uu3 | 2017-04-12 00:00:00 |  1593166 |
| uu4 | 2017-04-12 00:00:00 |  1068475 |
| uu1 | 2017-04-11 22:00:00 |  1881305 |
| uu2 | 2017-04-11 22:00:00 |   778711 |
| uu3 | 2017-04-11 22:00:00 |  2887969 |
| uu4 | 2017-04-11 22:00:00 |  1616003 |
| uu1 | 2017-04-11 21:00:00 |  2279586 |
| uu2 | 2017-04-11 21:00:00 |  1038874 |
| uu3 | 2017-04-11 21:00:00 |  3250361 |
| uu4 | 2017-04-11 21:00:00 |  1804672 |
| uu1 | 2017-04-11 20:00:00 |  2396819 |
| uu2 | 2017-04-11 20:00:00 |  1135805 |
| uu3 | 2017-04-11 20:00:00 |  3373422 |
| uu4 | 2017-04-11 20:00:00 |  1840725 |
| uu1 | 2017-04-11 19:00:00 |  2406922 |
| uu2 | 2017-04-11 19:00:00 |  1143349 |
| uu3 | 2017-04-11 19:00:00 |  3288182 |
| uu4 | 2017-04-11 19:00:00 |  1848476 |
| uu1 | 2017-04-11 18:00:00 |  2505157 |
| uu2 | 2017-04-11 18:00:00 |  1174143 |
| uu3 | 2017-04-11 18:00:00 |  3420025 |
| uu4 | 2017-04-11 18:00:00 |  1947484 |
| uu1 | 2017-04-11 17:00:00 |  2702977 |
| uu2 | 2017-04-11 17:00:00 |  1243398 |
| uu3 | 2017-04-11 17:00:00 |  3513887 |
| uu4 | 2017-04-11 17:00:00 |  1976051 |
| uu1 | 2017-04-11 16:00:00 |  2898264 |
| uu2 | 2017-04-11 16:00:00 |  1343548 |
| uu3 | 2017-04-11 16:00:00 |  3627128 |
| uu4 | 2017-04-11 16:00:00 |  2071583 |
| uu1 | 2017-04-11 15:00:00 |  2857283 |
| uu2 | 2017-04-11 15:00:00 |  1270241 |
| uu3 | 2017-04-11 15:00:00 |  3553159 |
| uu4 | 2017-04-11 15:00:00 |  2022960 |
| uu1 | 2017-04-11 14:00:00 |  2718207 |
| uu2 | 2017-04-11 14:00:00 |  1252674 |
| uu3 | 2017-04-11 14:00:00 |  3494734 |
| uu4 | 2017-04-11 14:00:00 |  1993538 |
| uu1 | 2017-04-11 13:00:00 |  2706755 |
| uu2 | 2017-04-11 13:00:00 |  1191009 |
| uu3 | 2017-04-11 13:00:00 |  3495641 |
| uu4 | 2017-04-11 13:00:00 |  1964918 |
| uu1 | 2017-04-11 12:00:00 |  2477803 |
| uu2 | 2017-04-11 12:00:00 |  1050996 |
| uu3 | 2017-04-11 12:00:00 |  3426022 |
| uu4 | 2017-04-11 12:00:00 |  1881947 |
| uu1 | 2017-04-11 11:00:00 |  2506739 |
| uu2 | 2017-04-11 11:00:00 |  1016950 |
| uu3 | 2017-04-11 11:00:00 |  3312249 |
| uu4 | 2017-04-11 11:00:00 |  1921724 |
| uu1 | 2017-04-11 10:00:00 |  2300973 |
| uu2 | 2017-04-11 10:00:00 |   874467 |
| uu3 | 2017-04-11 10:00:00 |  3107691 |
| uu4 | 2017-04-11 10:00:00 |  1782275 |
| uu1 | 2017-04-11 09:00:00 |  1592782 |
| uu2 | 2017-04-11 09:00:00 |   548755 |
| uu3 | 2017-04-11 09:00:00 |  2421060 |
| uu4 | 2017-04-11 09:00:00 |  1477888 |
| uu1 | 2017-04-11 08:00:00 |  1023724 |
| uu2 | 2017-04-11 08:00:00 |   283453 |
| uu3 | 2017-04-11 08:00:00 |  1785909 |
| uu4 | 2017-04-11 08:00:00 |  1263732 |
| uu1 | 2017-04-11 07:00:00 |   728453 |
| uu2 | 2017-04-11 07:00:00 |   182887 |
| uu3 | 2017-04-11 07:00:00 |  1422239 |
| uu4 | 2017-04-11 07:00:00 |  1141622 |
| uu1 | 2017-04-11 06:00:00 |   460950 |
| uu2 | 2017-04-11 06:00:00 |   107159 |
| uu3 | 2017-04-11 06:00:00 |  1046843 |
| uu4 | 2017-04-11 06:00:00 |  1019166 |
| uu1 | 2017-04-11 05:00:00 |   243887 |
| uu2 | 2017-04-11 05:00:00 |    56717 |
| uu3 | 2017-04-11 05:00:00 |   754171 |
| uu4 | 2017-04-11 05:00:00 |   871416 |
| uu1 | 2017-04-11 04:00:00 |   211757 |
| uu2 | 2017-04-11 04:00:00 |    45587 |
| uu3 | 2017-04-11 04:00:00 |   728213 |
| uu4 | 2017-04-11 04:00:00 |   833744 |
| uu1 | 2017-04-11 03:00:00 |   276880 |
